year,position,heightfeet,heightinches,heightinchestotal,weight,arms,hands,fortyyd,twentyyd,tenyd,twentyss,threecone,vertical,broad,bench,nflgrade,college,
2014,WR,6,1,73,195,0,0,4.5,0,0,4.08,6.8,30.5,117,4,5.9,Wisconsin,6
2014,WR,6,1,73,212,0,0,4.56,0,0,4.3,6.82,39.5,123,14,5.6,Fresno St.,2
2014,SS,6,1,73,220,0,0,4.54,0,0,4.51,7.05,38,123,0,6,Utah St.,4
2014,CB,5,9,69,187,0,0,4.61,0,0,4.15,0,35.5,117,13,5.4,Purdue,5
2014,TE,6,5,77,265,0,0,4.74,0,0,4.3,7.42,33,118,28,5.3,Texas Tech,2
2014,RB,5,10,70,225,0,0,4.82,0,0,4.49,7.24,29.5,106,20,5.3,Western Kentucky,0
2014,RB,5,8,68,173,0,0,4.26,0,0,4.06,6.86,38,122,20,5.5,Kent St.,4
2014,C,6,2,74,302,0,0,5.36,0,0,0,0,0,0,0,5.5,Grand Valley St.,0
2014,RB,6,1,73,218,0,0,4.48,0,0,4.46,7.07,38,121,19,5.6,Notre Dame,0
2014,OLB,6,3,75,252,0,0,0,0,0,0,0,0,0,0,5.5,Georgia Tech,2
2014,SS,6,0,72,201,0,0,4.66,0,0,4.15,6.97,34,113,0,5.4,USC,0
2014,OLB,6,5,77,255,0,0,4.66,0,0,4.19,6.82,34.5,119,15,6.2,UCLA,1
2014,OLB,6,1,73,237,0,0,4.64,0,0,4.35,7.24,35,123,22,5.4,LSU,5
2014,WR,5,11,71,198,0,0,4.43,0,0,3.94,6.69,38.5,122,7,4.9,LSU,1
2014,CB,5,11,71,182,0,0,0,0,0,0,0,0,0,11,5,Alabama,0
2014,WR,6,5,77,240,0,0,4.61,0,0,4.39,7.33,32.5,119,13,5.1,Florida St.,1
2014,CB,5,11,71,195,0,0,4.63,0,0,4.38,6.94,40.5,122,10,6.1,San Jose St.,5
2014,SS,5,10,70,193,0,0,4.71,0,0,4.22,7.08,35.5,117,15,5.2,San Diego St.,5
2014,RB,5,9,69,212,0,0,4.67,0,0,0,0,29,106,24,5.4,Colorado St.,0
2014,OT,6,4,76,302,0,0,4.97,0,0,4.44,7.37,32,114,22,0,Nevada,2
2014,TE,6,4,76,256,0,0,0,0,0,0,0,0,0,0,6,Massachusetts,8
2014,RB,6,2,74,223,0,0,4.63,0,0,4.5,7.15,32,121,13,5,LSU,6
2014,C,6,3,75,310,0,0,5.18,0,0,4.66,8.26,29,109,42,5,North Carolina,4
2014,OG,6,4,76,298,0,0,5.3,0,0,4.61,7.44,25,101,21,5,Iowa,0
2014,ILB,5,11,71,248,0,0,4.83,0,0,4.27,7.18,31,114,27,5.2,Wisconsin,3
2014,QB,6,5,77,232,0,0,4.93,0,0,4.21,7.08,32.5,115,0,5,Central Florida,1
2014,SS,6,0,72,204,0,0,4.59,0,0,4.31,7.04,35,116,18,4.8,North Carolina,4
2014,K,6,2,74,185,0,0,0,0,0,0,0,0,0,0,5.2,Rice,0
2014,WR,6,4,76,206,0,0,4.73,0,0,0,0,0,0,12,5,Vanderbilt,0
2014,QB,6,1,73,222,0,0,4.84,0,0,4.23,7.33,30.5,106,0,4.8,Clemson,7
2014,OLB,6,1,73,250,0,0,4.76,0,0,4.3,7.25,37.5,122,23,4.9,Arizona State,4
2014,CB,5,11,71,197,0,0,4.62,0,0,4.33,7.04,34.5,123,11,5,Clemson,4
2014,QB,6,2,74,214,0,0,0,0,0,4.2,7.17,30,113,0,5.3,Louisville,1
2014,OT,6,6,78,325,0,0,5.19,0,0,4.69,8.14,27.5,100,23,5.2,Missouri,2
2014,DT,6,3,75,306,0,0,5.06,0,0,0,7.92,33.5,106,26,6.1,Syracuse,0
2014,FS,5,11,71,198,0,0,4.42,0,0,0,7.35,38,119,10,5.3,Florida St.,3
2014,WR,5,11,71,178,0,0,4.51,0,0,4.22,7.16,33,116,0,4.8,Ohio St.,0
2014,WR,5,10,70,179,0,0,4.34,0,0,4.12,6.91,36.5,119,0,5.2,Pittsburg St. (KS),3
2014,OLB,6,0,72,238,0,0,5.03,0,0,4.56,7.77,31,108,16,6,Illinois,0
2014,ILB,6,1,73,251,0,0,4.86,0,0,4.26,6.98,33,116,23,5.1,Louisville,3
2014,WR,6,4,76,211,0,0,4.42,0,0,4.15,7.18,39,124,16,0,Clemson,4
2014,SS,6,1,73,211,0,0,4.49,0,0,4.26,6.96,36.5,125,19,5.5,Washington St.,1
2014,ILB,6,3,75,249,0,0,4.78,0,0,4.3,7.22,31,112,30,5.1,Michigan St.,0
2014,WR,5,10,70,188,0,0,4.58,0,0,3.94,6.74,31,115,16,5.3,Fresno St.,0
2014,TE,6,2,74,224,0,0,4.62,0,0,4.32,7.14,30,112,0,5.1,Florida,0
2014,WR,5,9,69,192,0,0,4.46,0,0,4.01,6.77,39,122,20,5.3,Wake Forest,7
2014,RB,5,9,69,207,0,0,4.7,0,0,4.38,7.08,32.5,115,19,0,Arizona,4
2014,QB,6,2,74,214,0,0,4.69,0,0,4.2,0,34.5,110,0,4.8,Fresno St.,2
2014,NT,6,1,73,337,0,0,5.47,0,0,0,7.89,26,88,32,5.1,Arkansas State,6
2014,CB,6,0,72,206,0,0,0,0,0,0,0,0,0,17,4.8,Ohio,7
2014,P,6,5,77,231,0,0,0,0,0,0,0,0,0,0,6.1,Auburn,0
2014,DE,6,6,78,271,0,0,4.77,0,0,0,7.26,32,112,22,5.6,West Virginia,3
2014,FS,6,1,73,208,0,0,4.58,0,0,4.16,7.16,33,119,11,5.5,Alabama,1
2014,DE,6,5,77,266,0,0,4.53,0,0,0,7.27,37.5,124,21,4.9,South Carolina,1
2014,CB,6,0,72,191,0,0,4.56,0,0,4.32,7.28,36.5,122,10,5.2,Duke,4
2014,WR,6,6,78,225,0,0,4.56,0,0,4.51,7.33,32.5,0,21,6.1,Rutgers,0
2014,DT,6,5,77,314,0,0,0,0,0,0,0,0,0,24,6.1,California,0
2014,WR,5,10,70,198,0,0,0,0,0,0,0,0,0,0,6.2,Northwestern,0
2014,CB,5,11,71,177,0,0,0,0,0,0,0,0,0,0,6.4,Oklahoma,4
2014,WR,5,10,70,189,0,0,4.33,0,0,3.81,6.76,36,120,16,5.5,Oregon St.,1
2014,WR,5,11,71,184,0,0,4.5,0,0,3.9,6.53,40,120,12,7,Louisville,0
2014,FB,5,11,71,271,0,0,4.95,0,0,4.58,7.68,28.5,111,23,5.4,LSU,0
2014,RB,6,0,72,209,0,0,4.48,0,0,4.26,7.01,34.5,125,0,5.4,UNLV,0
2014,DE,6,3,75,273,0,0,4.84,0,0,0,7.19,31.5,108,24,4.9,Oregon St.,3
2014,RB,5,11,71,224,0,0,4.57,0,0,0,0,38,117,23,4.9,Alabama St.,0
2014,CB,5,10,70,202,0,0,0,0,0,0,0,0,0,15,5.5,Auburn,0
2014,WR,6,0,72,197,0,0,0,0,0,0,0,0,0,10,5.2,Texas,0
2014,TE,6,4,76,235,0,0,4.77,0,0,0,0,32.5,0,0,5.4,Utah,0
2014,CB,5,11,71,199,0,0,4.51,0,0,0,0,0,0,15,4.8,Michigan St.,1
2014,CB,6,1,73,198,0,0,4.59,0,0,4.3,6.86,35,133,11,5.2,Lindenwood,4
2014,SS,6,0,72,212,0,0,4.64,0,0,4.5,7.55,32,111,14,5.6,Baylor,8
2014,CB,5,11,71,203,0,0,4.41,0,0,4.27,7.15,32.5,117,17,5.2,Northwest Missouri St.,7
2014,DT,6,1,73,285,0,0,4.68,0,0,0,7.11,32,116,35,5.9,Pittsburgh,1
2014,SS,6,3,75,190,0,0,4.52,0,0,4.24,7.04,33.5,118,8,5.2,Western Kentucky,8
2014,OT,6,4,76,313,0,0,5.42,0,0,4.89,8.14,24,101,23,4.8,Furman,5
2014,TE,6,3,75,268,0,0,0,0,0,0,0,0,0,35,5.4,Dixie St.,0
2014,DE,6,4,76,273,0,0,4.92,0,0,0,6.83,31,114,22,5.4,Missouri,2
2014,DT,6,2,74,288,0,0,0,0,0,0,0,0,0,26,5.5,Florida,1
2014,TE,6,4,76,250,0,0,4.6,0,0,0,0,32,120,24,6,North Carolina,1
2014,DE,6,2,74,253,0,0,4.79,0,0,0,7.2,34.5,115,19,5,Boston College,0
